etapa,secuencia_op,nro_linea,descripcion_libre,cantidad_teorica,unidad
E1,100,1,Estacas de madera para marcado,20,unid
E1,100,2,Cal para replanteo,5,bolsas
E1,200,1,Hierro Ø12 nervado,380,kg
E1,200,2,Hierro Ø8 nervado,120,kg
E1,200,3,Alambre negro recocido Nº 17,8,kg
E1,300,1,Hormigón H21 elaborado,4.5,m3
E1,300,2,Aditivo plastificante,3,lt
E1,400,1,Caño PVC sanitario 110mm,12,ml
E2,600,1,Hierro Ø12 nervado,420,kg
E2,600,2,Hierro Ø8 nervado,180,kg
E2,600,3,Separadores plásticos 2cm,120,unid
E2,700,1,Hormigón H25 elaborado,6.5,m3
E2,700,2,Aditivo plastificante,4,lt
E2,800,1,Ladrillo cerámico 8cm,850,unid
E2,800,2,Cal hidráulica,8,bolsas
E3,1000,1,Hierro Ø12 nervado,390,kg
E3,1000,2,Hierro Ø8 nervado,160,kg
E3,1000,3,Separadores plásticos 2cm,110,unid
E3,1100,1,Hormigón H25 elaborado,6,m3
E3,1100,2,Aditivo plastificante,4,lt
E3,1200,1,Ladrillo cerámico 8cm,680,unid
E3,1200,2,Cal hidráulica,7,bolsas
E4,1500,1,Cemento Portland,12,bolsas
E4,1500,2,Arena fina,1.5,m3
E5,1600,1,Cerámico 30x30 baños,48,m2
E5,1600,2,Adhesivo flexible,6,bolsas
E5,1700,1,Pintura látex interior blanca,32,lt
E5,1700,2,Enduido interior,10,kg
E5,1800,1,Cerámico 45x45 piso,48,m2
E5,1800,2,Adhesivo cerámico,8,bolsas
