etapa;secuencia;nombre;depende_de;desfase_inicio_hs;responsable;duracion_hs;unidad_avance;cantidad_meta;peso_pct;criterio_cierre;descripcion;cant_materiales
E1;100;ExcavaciÛn de cimientos.;;;RESP-A;8;PORCENTAJE;;25.00;;;2
E1;200;Armado y llenado de cimientos.;100;;RESP-A;16;PORCENTAJE;;25.00;;;3
E1;300;Armadura de estructura portante (perfileria metalica y cabios de madera).;200;;RESP-A;24;PORCENTAJE;;25.00;;;2
E1;400;Armadura de cubierta.;300;72;RESP-A;16;PORCENTAJE;;25.00;;;2
E2;500;Mamposteria de cimiento/muros de contencion.;400;;RESP-B;24;PORCENTAJE;;20.00;;;3
E2;600;Replanteo y encofrado.;500;;RESP-B;12;PORCENTAJE;;10.00;;;2
E2;700;Instalaciones Bajo Losa.;600;;RESP-B;8;PORCENTAJE;;5.00;;;2
E2;800;Barrera de Vapor.;700;;RESP-B;4;PORCENTAJE;;10.00;;;1
E2;900;Estructura (Armadura).;800;;RESP-B;32;PORCENTAJE;;25.00;;;3
E2;1000;Hormigonado de platea.;900;;RESP-B;16;PORCENTAJE;;25.00;;;2
E2;1100;Curado.;1000;;RESP-B;168;PORCENTAJE;;5.00;;;1
E3;1200;Muros exteriores;1100;;RESP-C;60;PORCENTAJE;;40.00;;;3
E3;1300;Muros interiores.;1200;;RESP-C;48;PORCENTAJE;;40.00;;;2
E3;1400;Viga dintel sobre puertas interiores y exteriores.;1300;;RESP-C;16;PORCENTAJE;;20.00;;;2
E4;1500;Revoque grueso en baÒos,cocina y lavadero.;1400;;RESP-D;24;PORCENTAJE;;20.00;;;2
E4;1600;Revoque grueso en baÒos,cocina y lavadero.;1401;;RESP-D;40;PORCENTAJE;;80.00;;;1
E5;1700;Revoque grueso en baÒos,cocina y lavadero.;1402;;RESP-D;48;PORCENTAJE;;80.00;;;3
E5;1800;Revoque grueso en baÒos,cocina y lavadero.;1403;;RESP-D;12;PORCENTAJE;;20.00;;;2
E6;1900;Estructura sector publico + privado;1800;;RESP-A;40;PORCENTAJE;;40.00;;;2
E6;2000;Estructura galeria.;1900;;RESP-A;16;PORCENTAJE;;20.00;;;1
E6;2100;Preinstalacion electrica.;2000;;RESP-A;8;PORCENTAJE;;10.00;;;2
